notebook_path,relative_notebook_path,tracked_in_git,modified_vs_head_before_audit,file_size_bytes,sha256_before,working_tree_parse_error,head_parse_error,current_cell_count,current_code_cells,current_markdown_cells,current_function_defs,head_cell_count,head_function_defs
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_HPO_Comparison.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_HPO_Comparison.ipynb,True,False,140675,e97f0284f3e6d5b88fd7abbebf865cedf1d726ea7545d3c1d67e3d6c234d7683,,,16,8,8,21,16,21
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_LearningRate_BatchSize_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_LearningRate_BatchSize_Trial.ipynb,True,False,57378,a705f1f70e605ce934e3dabcf4e9b3015bdcd25f7bc78f6c97ff3330eb32b297,,,12,6,6,19,12,19
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Optimizer_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Optimizer_Trial.ipynb,True,False,98404,ae67513036cc81519427e17ade2dd964609006ba10e41e726537829171ecbf5e,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,,,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Random_Search.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Random_Search.ipynb,True,False,196682,5a9a9cefd7c9ebf948cad10b3f5378b94f9e77bbf27eba82a1a1bf6215458301,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,,,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_Baseline.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_Baseline.ipynb,True,True,165250,9e3aba5d7799ae0d4e1cb8f51e2f6940122d2eeea3a82658aefc51a45ac17ea3,,,58,19,39,6,61,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_C_Trial.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_C_Trial.ipynb,True,False,87532,57ba834a02d317c00d580161c21170467962ef309ca172f806f6520bd15eae93,,,45,15,30,6,45,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_ClassWeight_Trial.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_ClassWeight_Trial.ipynb,True,False,86095,ff3ff91a74924315b1710c3c260b940ebafcf49292beeffdc7b7be3fb1cc97c7,,,45,15,30,6,45,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_Final_Selected_Model.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_Final_Selected_Model.ipynb,True,True,165406,984e0cbc3d6a7c9e86a34be365dd128d6b84481a6e6a53116e17d82445266133,,,58,19,39,6,61,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_Penalty_Trial.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_Penalty_Trial.ipynb,True,False,85938,eaaaf17d6dcb1f3d830674b73e768a970d8fb5d335aea28141676b0c39557a4c,,,45,15,30,6,45,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_Solver_Trial.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_Solver_Trial.ipynb,True,False,85986,f4fbb9b31ec27c3d852a8a0133a0d439f5715268bf1a154e510ffe3ce86697a1,,,45,15,30,6,45,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_Trial_Comparison.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_Trial_Comparison.ipynb,True,False,31339,e5d0c6c2df4d7ad1e1482031da35ec7c2855aba08f77d5bc62039519b1caede8,,,3,2,1,0,3,0
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Baseline.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Baseline.ipynb,True,True,142568,761f42bbed07c26e5bd612ba3098d1e1534268c7cfefad1c46ceae3236e61da2,,,58,19,39,8,61,8
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_C_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_C_Trial.ipynb,True,True,63853,b5e4a69b0c84167d6cca313d66be82c7e7af94b97465b58bdd55b8c340044301,,,14,7,7,4,16,4
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Class_Weight_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Class_Weight_Trial.ipynb,True,True,67787,f4970a4a72fe3b9d4d3dad4e7b688bdb41ceac71e9df0870b64ba6e8946e5b8c,,,14,7,7,4,16,4
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Data_Preparation.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Data_Preparation.ipynb,True,True,33174,44600e73359e73dfc6554b0e67397669b0b0f9cd29708a9bee2cfadfe84d10f4,,,10,5,5,8,12,8
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Final_Selected_Model.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Final_Selected_Model.ipynb,True,True,68951,513a0662a654ff54b624b97892b261c41a214353c65ea13c3fcebfd2844f2079,,,18,9,9,4,20,4
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Gamma_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Gamma_Trial.ipynb,True,True,72110,2f2cc206dad30a22809814207816260d9034a902560b5f3b8b69ba6854db12a4,,,14,7,7,4,16,4
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Kernel_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Kernel_Trial.ipynb,True,True,66992,6d1b8e4e6d74d6fceed6924bb650993734409b6197f819b680d2d995da376dce,,,14,7,7,4,16,4
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Trial_Comparison.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Trial_Comparison.ipynb,True,False,37465,6b56764bff423739a290600c9d10f8d63255673d16e0da323f07db9af7f527e4,,,8,4,4,1,8,1
