notebook_path,relative_notebook_path,tracked_in_git,modified_vs_head_before_audit,head_cell_count,current_cell_count,cell_count_delta,head_function_defs,current_function_defs,function_def_delta,exact_source_cells_added,exact_source_cells_removed,exact_source_cells_moved,functions_moved_earlier_vs_head,git_insertions,git_deletions
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_LearningRate_BatchSize_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_LearningRate_BatchSize_Trial.ipynb,True,False,10,10,0,19,19,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Random_Search.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Random_Search.ipynb,True,False,10,10,0,17,17,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Activation_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Activation_Trial.ipynb,True,False,14,14,0,20,20,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Architecture_Trial.ipynb,True,False,14,14,0,20,20,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Baseline.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Baseline.ipynb,True,False,12,12,0,15,15,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Controlled_Trial_Comparison.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Controlled_Trial_Comparison.ipynb,True,False,8,8,0,10,10,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Dropout_Regularisation_Trial.ipynb,True,False,14,14,0,20,20,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Final_Selected_Model.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Final_Selected_Model.ipynb,True,False,12,12,0,16,16,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Genetic_Algorithm.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Genetic_Algorithm.ipynb,True,False,12,12,0,20,20,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_HPO_Comparison.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_HPO_Comparison.ipynb,True,False,16,16,0,21,21,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_LearningRate_BatchSize_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_LearningRate_BatchSize_Trial.ipynb,True,False,12,12,0,19,19,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_C_Trial.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_C_Trial.ipynb,True,False,45,45,0,6,6,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_ClassWeight_Trial.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_ClassWeight_Trial.ipynb,True,False,45,45,0,6,6,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_Penalty_Trial.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_Penalty_Trial.ipynb,True,False,45,45,0,6,6,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_Solver_Trial.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_Solver_Trial.ipynb,True,False,45,45,0,6,6,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_Trial_Comparison.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_Trial_Comparison.ipynb,True,False,3,3,0,0,0,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Trial_Comparison.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Trial_Comparison.ipynb,True,False,8,8,0,1,1,0,0,0,0,,,
